name,latitude,longitude,type
"Winners Schools","5.5384676","5.7544948","school"
"Godstime Nursery and Primary School","5.5365037","5.7533423","school"
"Peak Extra Moral Lesson","5.5370170","5.7517797","school"
"Rolu Group of Schools","5.5332278","5.7512279","school"
"Unity Life Nusary and Primary School","5.5355710","5.7538998","school"
"Iris School","5.5368707","5.7494031","school"
"Montessori International School","5.5395778","5.7488188","school"
"Brisco Schools","5.5377201","5.7494179","school"
"New Creation Baptist Nur and Pri School","5.5371831","5.7492511","school"
"Compos Mentis Intl. School","5.5381179","5.7492323","school"
"Salvation Model Nursery and Primary School","5.5314475","5.7453173","school"
"Aunty Pat School","5.5312830","5.7451445","school"
"Holy Family Schools","5.5410908","5.7508355","school"
"Prevailing Word Group of Schools","5.5351037","5.7508911","school"
"Kefe Academy","5.5317039","5.7549711","school"
"Ighogbadu Primary School","5.5324568","5.7582634","school"
"Bright Hope Schools","5.5324941","5.7534488","school"
"Alphameric Schools","5.5304560","5.7522348","school"
"Hillfield International Schools","5.5306441","5.7540086","school"
"Flomatry Intl. Group of Schools","5.5337471","5.7480610","school"
"Eagle West School","5.5300101","5.7476972","school"
"Genesis International School","5.5306425","5.7516159","school"
"Messiah African Church Group of Schools","5.5302831","5.7453458","school"
"St. Augustine Schools","5.5317233","5.7573651","school"
"Royal Exams Preparatory Class","5.5315105","5.7571507","school"
"Avenue Baptist School","5.5298650","5.7504081","school"
"Divine Victory School","5.5329549","5.7565427","school"
"Springwell School","5.5354518","5.7573585","school"
"Aunty Mercy Blessed School","5.5289306","5.7580312","school"
"Magic Touch schools","5.5302396","5.7567386","school"
"Royal Day Care","5.5293743","5.7536236","school"
"Ford","5.5317244","5.7512168","school"
"Sure Success School","5.5286060","5.7513214","school"
"Doxaville School","5.5318450","5.7490937","school"
"Cerry-Fort Group of Schools","4.8282196","7.0630731","school"
"Favour International Schools","4.8433727","7.0639541","school"
"Good Shepard Academy","4.8177268","7.0657502","school"
"Open Doors International School","4.8171891","7.0589606","school"
"Amaris Nursery and Primary School","4.8176943","7.0658998","school"
"Cherry Forth Daycare Nur and Pri School","4.8278304","7.0631415","school"
"The Kiib School","4.8347542","7.0281473","school"
"Matville School","4.8339824","7.0280584","school"
"Active Brains International Academy","4.8314946","7.0273505","school"
"","10.0757753","4.7159710","school"
"","10.0756951","4.7161657","school"
"","10.0751167","4.7161090","school"
"","10.0752944","4.7161586","school"
"Lifetop Intl. School","4.8327955","7.0272932","school"
"International Unity School","4.8389055","7.0309827","school"
"Bishop Crowther Memorial Schools","4.8366378","7.0297619","school"
"Liberation Model Nursery and Primary School","4.8347172","7.0276528","school"
"Pleasant Places","4.8371793","7.0273339","school"
"Aries Montessori School","4.8271129","7.0475657","school"
"Crestonville Elementary","4.8382886","7.0334023","school"
"EDS Exceptional Diamond School","4.8215487","7.0522596","school"
"Greenwood International Nusery and Primary School","4.8341577","7.0309078","school"
